ImageNumber,Count_Nuclei,FileName_Dna,FileName_Overlay,ImageQuality_PowerLogLogSlope_Dna,Mean_Nuclei_AreaShape_Area,Mean_Nuclei_Intensity_IntegratedIntensity_Dna,Mean_Nuclei_Intensity_MaxIntensity_Dna,Mean_Nuclei_Intensity_MeanIntensity_Dna,Metadata_gene,Metadata_plate,Metadata_posNum,Metadata_rootPath,Metadata_siRNA,Metadata_timeNum,Metadata_wellNum,PathName_Dna,PathName_Overlay,Metadata_gene_siRNA,Metadata_batch_treatment,HTM_qc,HTM_norm__log2__Count_Nuclei,HTM_norm__log2__subtract_mean_ctrl__Count_Nuclei,HTM_norm__log2__Mean_Nuclei_Intensity_MaxIntensity_Dna,HTM_norm__log2__subtract_mean_ctrl__Mean_Nuclei_Intensity_MaxIntensity_Dna,HTM__subtract_mean_ctrl__length,HTM__subtract_mean_ctrl__cosine,HTM__subtract_mean_ctrl__projection
1,191,EMBO_2012_Group1--s7903--KIF11--W0014--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--s7903--KIF11--W0014--P001--T00090--Z000--C01.ome.png,-0.936340413,474.2303665,9.756952598,0.043217709,0.02030519,KIF11,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,s7903,90,14,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00014--s7903--KIF11/P00001--s7903--KIF11,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,KIF11_s7903,EMBO_2012_Group1__KIF11_s7903,TRUE,7.577428828,-0.751923151,-4.532233596,1.009780517,1.258985749,0.982764016,NA
2,599,EMBO_2012_Group1--empty--empty--W0013--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0013--P001--T00090--Z000--C01.ome.png,-1.232561103,547.5392321,7.720840946,0.02031602,0.013238725,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,13,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00013--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,9.226412193,0.897060214,-5.621238357,-0.079224244,0.90055178,-0.381147027,NA
3,393,EMBO_2012_Group1--empty--empty--W0016--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0016--P001--T00090--Z000--C01.ome.png,-1.328416228,565.4173028,7.61879029,0.019896192,0.012958234,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,16,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00016--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.618385502,0.289033524,-5.65136387,-0.109349757,0.309027098,-0.117167754,NA
4,487,EMBO_2012_Group1--XWNeg9--XWNeg9--W0015--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--XWNeg9--XWNeg9--W0015--P001--T00090--Z000--C01.ome.png,-1.26114655,588.5811088,8.908609369,0.022143879,0.013986143,XWNeg9,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,XWNeg9,90,15,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00015--XWNeg9--XWNeg9/P00001--XWNeg9--XWNeg9,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,XWNeg9_XWNeg9,EMBO_2012_Group1__XWNeg9_XWNeg9,TRUE,8.927777962,0.598425984,-5.496948227,0.045065887,0.600120481,0.997176404,NA
5,257,EMBO_2012_Group2--s21911--CIT--W0021--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group2--s21911--CIT--W0021--P001--T00090--Z000--C01.ome.png,-1.611301876,736.4435798,6.396147092,0.011910542,0.008316838,CIT,EMBO_2012_Group2,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,s21911,90,21,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group2/W00021--s21911--CIT/P00001--s21911--CIT,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,CIT_s21911,EMBO_2012_Group2__CIT_s21911,TRUE,8.005624549,-0.145918752,-6.391617183,-0.080192583,0.16650265,-0.878919467,NA
6,203,EMBO_2012_Group2--s444246--XWNeg9--W0024--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group2--s444246--XWNeg9--W0024--P001--T00090--Z000--C01.ome.png,-1.363182034,648.8669951,6.925444193,0.017329072,0.01041237,XWNeg9,EMBO_2012_Group2,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,s444246,90,24,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group2/W00024--s444246--XWNeg9/P00001--s444246--XWNeg9,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,XWNeg9_s444246,EMBO_2012_Group2__XWNeg9_s444246,TRUE,7.665335917,-0.486207384,-5.85066183,0.46076277,0.669850693,0.956834839,NA
7,306,EMBO_2012_Group2--empty--empty--W0023--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group2--empty--empty--W0023--P001--T00090--Z000--C01.ome.png,-1.603357309,580.0294118,5.274121414,0.012336785,0.008632119,empty,EMBO_2012_Group2,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,23,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group2/W00023--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group2__empty_empty,TRUE,8.257387843,0.105844542,-6.34088975,-0.02946515,0.109869295,-0.954243336,NA
8,180,EMBO_2012_Group2--s17612--AURKB--W0022--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group2--s17612--AURKB--W0022--P001--T00090--Z000--C01.ome.png,-1.385303628,913.1166667,9.185246667,0.016313945,0.009405943,AURKB,EMBO_2012_Group2,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,s17612,90,22,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group2/W00022--s17612--AURKB/P00001--s17612--AURKB,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,AURKB_s17612,EMBO_2012_Group2__AURKB_s17612,TRUE,7.491853096,-0.659690205,-5.937750503,0.373674097,0.758171153,0.969027804,NA
9,634,EMBO_2012_Group1--empty--empty--W0002--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0002--P001--T00090--Z000--C01.ome.png,-1.232678259,601.807571,8.949805423,0.021746649,0.014084997,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,2,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00002--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,9.30833903,0.978987052,-5.523063082,0.018951031,0.979170459,-0.478090103,NA
10,473,EMBO_2012_Group1--empty--empty--W0003--P001--T00090--Z000--C01.ome.tif,EMBO_2012_Group1--empty--empty--W0003--P001--T00090--Z000--C01.ome.png,-1.271170308,545.7336152,8.11474278,0.021223869,0.014023752,empty,EMBO_2012_Group1,1,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012,empty,90,3,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012/EMBO_2012_Group1/W00003--empty--empty/P00001--empty--empty,/g/embo2014/embo2014/P3_ScanR/data/renamed_2012--cp/images,empty_empty,EMBO_2012_Group1__empty_empty,TRUE,8.885696373,0.556344395,-5.558168536,-0.016154423,0.556578881,-0.435051037,NA
